Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to close after resolution),Custom field (Time to done),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Sprint: Parallel Bug Fixes (5 Independent Issues),OVOFOCUS-117,11621,Epic,Done,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,18/Jan/26 2:09 AM,18/Jan/26 2:09 AM,18/Jan/26 12:20 PM,,,0,"*Sprint Goal:* Fix 5 independent bugs in parallel without file conflicts.

h2. Selected Issues (All Independent Files)

||Key||File||Summary||
|OVOFOCUS-88|{{src/components/PixelButton.tsx}}|useCallback hooks missing shared value dependencies|
|OVOFOCUS-84|{{src/services/notifications.ts}}|isAppInForeground race condition|
|OVOFOCUS-76|{{src/data/animals.ts}}|getRarityLabel only returns Turkish labels|
|OVOFOCUS-69|{{src/hooks/useTimer.ts}}|elapsedMinutes loses partial minutes (floor rounding)|
|OVOFOCUS-80|{{src/components/Egg.tsx}}|useEffects missing shared value dependencies|

h2. Independence Verification

* ✅ Each bug is in a separate file
* ✅ No shared state dependencies between files
* ✅ No import/export relationships between the affected files
* ✅ Safe for parallel development by subagents",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1062ea0e,,,,{},ghx-label-3,,To Do,,,,yellow,,,,,,,0|i006mn:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,18/Jan/26 2:09 AM
Optimize render performance with memoization,OVOFOCUS-114,11588,Task,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,18/Jan/26 2:01 AM,18/Jan/26 2:01 AM,,,,0,"h2. Context

Collection may re-render unnecessarily, no memoization audit, heavy component tree.

h2. Requirements

* Implement React.memo for pure components
* Add useMemo/useCallback where appropriate
* Split large components into smaller chunks
* Implement lazy loading for modals
* Profile renders with React DevTools

h2. Technical Details

* Audit all components for unnecessary re-renders
* Use React.memo, useMemo, useCallback appropriately
* Add React.lazy for modal components

h2. Acceptance Criteria

* [ ] Reduced re-renders on state changes (measurable)
* [ ] Modals load on-demand
* [ ] Measurable performance improvement (profile before/after)
* [ ] No regressions in functionality

h2. Labels

ui-ux, performance, phase-6",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b64da4a,,,,{},,,,,,,,,,,,,,0|i006in:,,,,,,,,,,,,,,,,,,,,,,,,,,11455,OVOFOCUS-91,Complete UI/UX Overhaul,To Do,18/Jan/26 2:01 AM
Optimize animation performance and battery usage,OVOFOCUS-111,11561,Task,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,18/Jan/26 2:01 AM,18/Jan/26 2:01 AM,,,,0,"h2. Context

Multiple simultaneous animations on egg, infinite animations drain battery, confetti particles not cleaned up immediately.

h2. Requirements

* Implement animation budgeting (max concurrent animations)
* Pause animations when app backgrounded
* Clean up particles immediately after fade
* Use native driver for all animations
* Profile and optimize heavy animations

h2. Technical Details

* Add AppState listener to pause animations
* Audit all Reanimated animations for useNativeDriver
* Implement animation manager/coordinator
* Profile with Flipper or React DevTools

h2. Acceptance Criteria

* [ ] Consistent 60fps during animations
* [ ] Battery usage reduced when idle/backgrounded
* [ ] No memory leaks from animations
* [ ] All animations use native driver where possible

h2. Labels

ui-ux, performance, phase-5",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61bb7082,,,,{},,,,,,,,,,,,,,0|i006fj:,,,,,,,,,,,,,,,,,,,,,,,,,,11455,OVOFOCUS-91,Complete UI/UX Overhaul,To Do,18/Jan/26 2:01 AM
Redesign session controls with improved button hierarchy,OVOFOCUS-97,11489,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,18/Jan/26 1:59 AM,18/Jan/26 1:59 AM,,,,0,"h2. Context

Controls at bottom could be more prominent, give up button placement could lead to accidental taps, pause count indicator is subtle.

h2. Requirements

* Create floating action bar with clear button hierarchy
* Add safe distance between destructive (give up) and constructive actions
* Make pause count indicator more prominent with visual badges
* Add micro-animations on button state changes
* Consider swipe gestures for common actions

h2. Technical Details

* Create SessionControls component
* Update PixelButton for new variants if needed
* Implement swipe gesture with react-native-gesture-handler

h2. Acceptance Criteria

* [ ] Primary action (start/pause/resume) is most prominent
* [ ] Destructive actions require deliberate interaction (separated by > 24px)
* [ ] Pause count clearly visible at all times
* [ ] Button state changes have micro-animations

h2. Labels

ui-ux, home-screen, phase-2",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@e4ba920,,,,{},,,,,,,,,,,,,,0|i0067b:,,,,,,,,,,,,,,,,,,,,,,,,,,11455,OVOFOCUS-91,Complete UI/UX Overhaul,To Do,18/Jan/26 1:59 AM
Audit and fix spacing consistency across all components,OVOFOCUS-94,11462,Task,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,18/Jan/26 1:58 AM,18/Jan/26 1:58 AM,,,,0,"h2. Context

Some components have inconsistent padding, screen margins vary, and touch targets are occasionally below 44px minimum.

h2. Requirements

* Audit all components for spacing consistency
* Implement 8px grid system strictly
* Ensure all interactive elements have minimum 44x44px touch targets
* Standardize screen padding (16px horizontal, 24px vertical)

h2. Technical Details

* Review all components in src/components/
* Update theme.ts spacing scale if needed
* Add hitSlop to buttons/touchables where needed

h2. Acceptance Criteria

* [ ] All touch targets >= 44x44px
* [ ] Consistent 8px grid alignment
* [ ] Screen padding standardized across all views
* [ ] No spacing inconsistencies visible

h2. Labels

ui-ux, design-system, phase-1",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@47e72db4,,,,{},,,,,,,,,,,,,,0|i00647:,,,,,,,,,,,,,,,,,,,,,,,,,,11455,OVOFOCUS-91,Complete UI/UX Overhaul,To Do,18/Jan/26 1:58 AM
Complete UI/UX Overhaul,OVOFOCUS-91,11455,Epic,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,18/Jan/26 1:58 AM,18/Jan/26 1:58 AM,,,,0,"h2. Overview

Comprehensive UI/UX improvements to transform Ovo Focus into a polished, production-ready mobile experience.

h2. Objectives

* Improve visual hierarchy and design consistency
* Enhance accessibility for all users
* Optimize performance and animations
* Create a premium, engaging user experience

h2. Scope

* Visual Design System refinement
* Home Screen improvements
* Collection Screen overhaul
* Settings Screen improvements
* Animation and transition polish
* Accessibility improvements
* Performance optimization
* Advanced UX features

h2. Success Criteria

* Maintain 60fps during all animations
* Pass WCAG AA accessibility audit
* Positive user feedback on visual improvements
* Improved session completion rate

h2. Implementation Phases

# *Phase 1 - Foundation* (3 tickets): Typography, Colors, Spacing
# *Phase 2 - Core Experience* (5 tickets): Header, Timer, Controls, Transitions, Accessibility
# *Phase 3 - Collection* (4 tickets): Filters, Grid, Cards, Empty States
# *Phase 4 - Details* (5 tickets): Egg Interaction, Stats, Micro-interactions, Loading, Contrast
# *Phase 5 - Advanced* (5 tickets): Detail Modal, Settings, Performance, Onboarding
# *Phase 6 - Polish* (4 tickets): Reduced Motion, Render Optimization, Danger Zone, Achievements

h2. Source

Design Document: {{docs/plans/2026-01-18-ui-ux-improvements-design.md}}",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5730271c,,,,{},ghx-label-2,,To Do,,,,dark_yellow,,,,,,,0|i0063b:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,18/Jan/26 1:58 AM
Optimize tablet and web layouts,OVOFOCUS-60,10804,Task,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:03 AM,17/Jan/26 2:03 AM,,,,0,"*Objective:* Make app look great on larger screens.

*Tasks:*

* Add responsive breakpoints to theme
* Create tablet-optimized layouts
* Optimize for Expo Web
* Test on various screen sizes
* Support landscape mode on tablets
* Adjust touch targets for larger screens

*Target Devices:*

* iPad (all sizes)
* Android tablets
* Web browsers (desktop/laptop)",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4e8fa39f,,,,{},,,,,,,,,,,,,,0|i003tz:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:03 AM
Add Siri and Google Assistant integration,OVOFOCUS-58,10801,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:03 AM,17/Jan/26 2:03 AM,,,,0,"*As a* user
*I want* to control the app with voice commands
*So that* I can start sessions hands-free

*Acceptance Criteria:*

* Siri Shortcuts support
* Google Assistant actions
* Voice commands: start session, check streak, view stats
* Shortcuts appear in suggestions
* Natural language responses

*Commands:*

* ""Start a focus session""
* ""How's my streak?""
* ""How much did I focus today?""",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5cb04075,,,,{},,,,,,,,,,,,,,0|i003tj:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:03 AM
Implement in-app purchases with react-native-iap,OVOFOCUS-53,10796,Task,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:03 AM,17/Jan/26 2:03 AM,,,,0,"*Objective:* Enable monetization through IAP.

*Tasks:*

* Install and configure react-native-iap
* Create products in App Store Connect
* Create products in Google Play Console
* Implement purchase flow
* Handle receipt validation
* Add purchase history
* Handle restore purchases
* Test sandbox purchases

*Product Types:*

* Consumables (power-up packs)
* Non-consumables (cosmetic packs)
* Subscriptions (premium tier)",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59d80657,,,,{},,,,,,,,,,,,,,0|i003sf:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:03 AM
Design and implement premium subscription,OVOFOCUS-52,10795,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:03 AM,17/Jan/26 2:03 AM,,,,0,"*As a* user
*I want* access to premium features
*So that* I can enhance my experience

*Premium Features:*

* Unlimited customization options
* Exclusive animals
* Advanced statistics
* Cloud sync included
* Ad-free experience
* Extra power-ups
* Priority support

*Acceptance Criteria:*

* Clear value proposition
* Smooth upgrade flow
* Subscription management works
* Restore purchases functional
* Free tier remains valuable",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7dc4cccf,,,,{},,,,,,,,,,,,,,0|i003s7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:03 AM
